event_id,detector_type,severity,reputation_score,hit_count,perimeter_vendor,is_whitelisted,label
evt_0425_2249,alert_distributed_error,medium,54,2962,paloalto,0,1
evt_0426_9591,alert_webshell_name,high,87,57,none,0,1
evt_0427_3277,alert_gambling_slot,high,83,782,none,0,1
evt_0428_1462,alert_gambling_slot,high,42,853,paloalto,0,1
evt_0429_2821,alert_webshell_name,medium,83,47,akamai,0,1
evt_0430_7439,alert_webshell_name,high,91,20,none,0,1
evt_0431_7249,alert_url_probe,low,39,36,none,0,0
evt_0432_3956,alert_distributed_error,medium,60,1449,imperva,0,0
evt_0433_6142,alert_distributed_error,medium,39,4924,paloalto,0,0
evt_0434_8527,alert_gambling_slot,high,56,690,none,0,1
evt_0435_2338,alert_webshell_heur,high,72,63,akamai,0,1
evt_0436_2424,alert_url_probe,medium,34,40,none,0,1
evt_0437_6670,alert_gambling_slot,high,48,406,akamai,0,1
evt_0438_1223,alert_url_probe,low,25,5,none,0,0
evt_0439_1857,alert_webshell_immediate,high,99,120,akamai,0,1
evt_0440_3894,alert_webshell_heur,medium,90,15,none,0,1
evt_0441_2063,alert_webshell_heur,medium,95,26,none,0,1
evt_0442_6756,alert_webshell_name,medium,86,77,paloalto,0,1
evt_0443_1111,alert_webshell_name,high,90,5,akamai,0,1
evt_0444_9383,alert_url_probe,low,84,37,none,0,0
evt_0445_9025,alert_webshell_immediate,high,87,147,none,0,1
evt_0446_9165,alert_url_probe,low,83,2,paloalto,0,1
evt_0447_7096,alert_webshell_immediate,high,83,23,paloalto,0,1
evt_0448_7356,alert_webshell_name,medium,87,40,paloalto,0,1
evt_0449_7014,alert_webshell_name,high,58,28,none,0,1
evt_0450_9006,alert_distributed_error,medium,37,3968,paloalto,0,0
evt_0451_1092,alert_webshell_heur,medium,86,60,none,0,1
evt_0452_8960,alert_url_probe,medium,76,10,paloalto,0,0
evt_0453_1412,alert_url_probe,medium,53,44,none,0,0
evt_0454_8613,alert_gambling_slot,high,40,383,paloalto,0,1
evt_0455_2623,alert_gambling_slot,high,49,339,imperva,0,1
evt_0456_5025,alert_gambling_slot,high,85,133,imperva,0,1
evt_0457_6494,alert_gambling_slot,high,72,563,akamai,0,1
evt_0458_1658,alert_webshell_name,medium,91,36,imperva,0,1
evt_0459_9325,alert_gambling_slot,high,40,578,none,0,1
evt_0460_6749,alert_url_probe,low,33,22,none,0,0
evt_0461_3787,alert_webshell_name,medium,95,75,paloalto,0,1
evt_0462_5025,alert_webshell_immediate,high,88,129,akamai,0,1
evt_0463_9528,alert_webshell_immediate,high,85,116,imperva,0,1
evt_0464_5519,alert_gambling_slot,high,83,825,paloalto,0,1
evt_0465_5535,alert_gambling_slot,high,86,169,imperva,0,1
evt_0466_3182,alert_url_probe,medium,42,48,imperva,0,0
evt_0467_9914,alert_distributed_error,medium,42,1416,none,0,0
evt_0468_6692,alert_distributed_error,medium,47,4419,akamai,0,1
evt_0469_2137,alert_url_probe,low,56,34,akamai,0,0
evt_0470_2838,alert_webshell_name,medium,84,65,paloalto,0,1
evt_0471_4479,alert_url_probe,low,42,3,akamai,0,1
evt_0472_1204,alert_webshell_name,high,68,53,akamai,0,0
evt_0473_8555,alert_webshell_name,high,58,77,akamai,0,1
evt_0474_9007,alert_distributed_error,medium,32,3575,paloalto,0,0
evt_0475_9959,alert_webshell_immediate,high,93,106,paloalto,0,1
evt_0476_2068,alert_webshell_heur,medium,55,68,akamai,0,1
evt_0477_8365,alert_distributed_error,medium,48,1260,none,0,0
evt_0478_8900,alert_webshell_immediate,high,85,78,paloalto,0,1
evt_0479_3228,alert_gambling_slot,high,90,128,none,0,1
evt_0480_1834,alert_webshell_name,medium,92,61,none,0,1
evt_0481_8777,alert_url_probe,medium,73,18,akamai,0,1
evt_0482_6981,alert_webshell_heur,high,92,51,paloalto,0,1
evt_0483_1412,alert_webshell_heur,medium,81,46,imperva,0,1
evt_0484_6715,alert_webshell_name,high,81,26,paloalto,0,1
evt_0485_2820,alert_webshell_heur,high,53,30,akamai,0,1
evt_0486_4004,alert_webshell_immediate,high,81,88,none,0,1
evt_0487_7425,alert_webshell_heur,medium,66,71,paloalto,0,1
evt_0488_4040,alert_url_probe,medium,75,49,imperva,0,0
evt_0489_6017,alert_webshell_heur,medium,70,31,none,0,1
evt_0490_9042,alert_distributed_error,medium,45,3752,imperva,0,0
evt_0491_3642,alert_webshell_heur,high,59,57,akamai,0,1
evt_0492_3069,alert_url_probe,low,66,28,none,0,0
evt_0493_4103,alert_webshell_immediate,high,80,110,paloalto,0,1
evt_0494_3562,alert_webshell_name,high,58,11,paloalto,0,1
evt_0495_5309,alert_gambling_slot,high,69,716,imperva,0,1
evt_0496_9481,alert_webshell_heur,medium,62,18,imperva,0,1
evt_0497_3771,alert_gambling_slot,high,86,163,akamai,0,1
evt_0498_3105,alert_webshell_heur,high,67,13,akamai,0,1
evt_0499_6347,alert_webshell_heur,high,65,56,none,0,1
